name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Camera Bag,37.66,1.1,0.4,0.39,0.26,2023-03-19,Port of Singapore (Singapore)
Portable Bluetooth Keyboard,144.65,0.39,0.11,0.06,0.03,2023-03-21,Port of Busan (South Korea)
Large Flat Rate Box,38.57,0.97,0.79,0.55,0.35,2023-03-25,Port of Tianjin (China)
Ceramic Tiles,10.34,6.22,0.36,0.37,0.02,2023-03-15,Port of Shanghai (China)
Garden Hose,21.63,1.18,17.77,0.27,0.13,2023-03-25,Port of Tianjin (China)
Cookware Set,401.64,7.6,0.49,0.35,0.15,2023-03-20,Port of Shanghai (China)
Drone,1434.08,2.7,0.75,1.3,0.26,2023-03-12,Port of Singapore (Singapore)
Pallete of Computers,988.66,2021.48,1.01,0.78,0.68,2023-03-18,Port of Tianjin (China)
Pallete of Clothing,196.68,832.5,1.05,0.94,1.47,2023-03-23,Port of Shanghai (China)
Large Bubble Mailer,9.0,0.19,0.27,0.14,0.03,2023-03-20,Port of Tianjin (China)
Big Bag with Glass Scraps,191.56,1223.29,1.51,0.91,0.29,2023-03-24,Port of Busan (South Korea)
Gaming Console,848.94,4.9,0.4,0.24,0.08,2023-03-17,Port of Shanghai (China)
Guitar,281.36,3.26,0.31,0.11,0.1,2023-03-16,Port of Shanghai (China)
Laptop Sleeve,28.08,0.23,0.32,0.07,0.24,2023-03-16,Port of Tianjin (China)
Microwave,144.04,3.63,0.41,0.3,0.26,2023-03-20,Port of Tokyo (Japan)
Bananas,94.64,216.25,0.62,0.6,0.7,2023-03-24,Port of Tokyo (Japan)
Pallete of Canned Vegetables,104.62,368.33,1.12,0.92,1.38,2023-03-17,Port of Tokyo (Japan)
Smartphone Case,5.46,0.05,0.12,0.07,0.02,2023-03-28,Port of Busan (South Korea)
Pallete of Books,238.27,995.1,1.12,0.8,1.11,2023-03-25,Port of Singapore (Singapore)
Forklift,7024.0,5449.23,2.0,1.87,1.84,2023-03-15,Port of Shanghai (China)
Electric Guitar,376.38,2.92,1.45,0.39,0.14,2023-03-22,Port of Busan (South Korea)
Tomatoes (Canned),1364.77,50.95,0.4,0.3,0.3,2023-03-12,Port of Singapore (Singapore)
Wetsuit,256.64,1.88,0.64,0.49,0.08,2023-03-19,Port of Tokyo (Japan)
Medium Shipping Tube,13.19,0.46,0.5,0.29,0.7,2023-03-22,Port of Shanghai (China)
Drawstring Bag,10.65,0.91,0.12,0.34,0.18,2023-03-26,Port of Tokyo (Japan)
